----------
100
1  12.78
2  9.45
4  19.25
8  16.63
12  19.25
16  20.94
20  22.37
24  23.88
----------
200
1  12.66
2  9.29
4  8.80
8  9.99
12  10.13
16  9.67
20  9.83
24  9.84
----------
500
1  13.30
2  8.26
4  4.80
8  3.62
12  3.09
16  3.14
20  2.86
24  3.19
----------
1000
1  13.19
2  7.08
4  3.72
8  2.17
12  1.59
16  1.26
20  1.12
24  1.07
----------
1500
1  13.18
2  6.83
4  4.08
8  1.99
12  1.47
16  1.13
20  0.88
24  0.80
----------
2000
1  13.17
2  6.67
4  3.44
8  1.98
12  1.49
16  1.09
20  0.87
24  0.82
